,YEAR,CAMPUS,CNAME,MEETS,COURSE
1069,22,57905108,BAYLES EL,32.0,STAAR - 4th Reading
1071,22,57905110,ANNIE WEBB BLAN,39.0,STAAR - 4th Reading
1073,22,57905114,JOHN NEELY BRYA,33.0,STAAR - 4th Reading
1075,22,57905116,DAVID G BURNET,47.0,STAAR - 4th Reading
1082,22,57905125,CASA VIEW EL,45.0,STAAR - 4th Reading
1088,22,57905133,BARBARA JORDAN,37.0,STAAR - 4th Reading
1090,22,57905135,EVERETTE LEE DE,65.0,STAAR - 4th Reading
1094,22,57905141,JILL STONE EL A,34.0,STAAR - 4th Reading
1109,22,57905161,SYLVIA MENDEZ C,24.0,STAAR - 4th Reading
1110,22,57905162,MOCKINGBIRD EL,70.0,STAAR - 4th Reading
1111,22,57905163,CEDAR CREST EL,24.0,STAAR - 4th Reading
1114,22,57905167,KLEBERG EL,38.0,STAAR - 4th Reading
1115,22,57905168,OBADIAH KNIGHT,31.0,STAAR - 4th Reading
1118,22,57905171,LAKEWOOD EL,92.0,STAAR - 4th Reading
1120,22,57905173,JESUS MOROLES E,55.0,STAAR - 4th Reading
1121,22,57905174,GENEVA HEIGHTS,41.0,STAAR - 4th Reading
1127,22,57905181,MAPLE LAWN EL,23.0,STAAR - 4th Reading
1128,22,57905182,HERBERT MARCUS,33.0,STAAR - 4th Reading
1131,22,57905185,WILLIAM B MILLE,50.0,STAAR - 4th Reading
1138,22,57905192,JOHN F PEELER E,54.0,STAAR - 4th Reading
1140,22,57905194,K B POLK CENTER,46.0,STAAR - 4th Reading
1144,22,57905199,REINHARDT EL,43.0,STAAR - 4th Reading
1146,22,57905202,ORAN M ROBERTS,55.0,STAAR - 4th Reading
1149,22,57905205,CLINTON P RUSSE,22.0,STAAR - 4th Reading
1150,22,57905206,ALEX SANGER PRE,72.0,STAAR - 4th Reading
1155,22,57905211,STEVENS PARK EL,43.0,STAAR - 4th Reading
1159,22,57905216,EDWARD TITCHE E,39.0,STAAR - 4th Reading
1161,22,57905218,GEORGE W TRUETT,44.0,STAAR - 4th Reading
1163,22,57905220,MARK TWAIN SCHO,63.0,STAAR - 4th Reading
1165,22,57905224,WALNUT HILL EL,62.0,STAAR - 4th Reading
1171,22,57905233,NATHAN ADAMS EL,63.0,STAAR - 4th Reading
1177,22,57905240,FRANK GUZICK EL,24.0,STAAR - 4th Reading
1178,22,57905244,SEAGOVILLE NORT,29.0,STAAR - 4th Reading
1187,22,57905271,JULIAN T SALDIV,33.0,STAAR - 4th Reading
1194,22,57905278,LEONIDES GONZAL,53.0,STAAR - 4th Reading
1195,22,57905279,JERRY R JUNKINS,62.0,STAAR - 4th Reading
1203,22,57905301,WILMER-HUTCHINS,47.0,STAAR - 4th Reading
1204,22,57905303,THELMA ELIZABET,47.0,STAAR - 4th Reading
1207,22,57905306,SOLAR PREPARATO,73.0,STAAR - 4th Reading
1214,22,57905386,SOLAR PREP FOR,61.0,STAAR - 4th Reading
1224,22,57907106,CLINT Q SMITH E,27.0,STAAR - 4th Reading
1242,22,57909119,BRADFIELD EL,46.0,STAAR - 4th Reading
1291,22,57910129,THURGOOD MARSHA,54.0,STAAR - 4th Reading
1364,22,57916104,GREENWOOD HILLS,53.0,STAAR - 4th Reading
1374,22,57916114,STULTS ROAD EL,36.0,STAAR - 4th Reading
1383,22,57916124,SPRINGRIDGE EL,49.0,STAAR - 4th Reading
1385,22,57916126,SKYVIEW EL,30.0,STAAR - 4th Reading
1394,22,57916135,AIKIN EL,45.0,STAAR - 4th Reading
1397,22,57916143,FOREST LANE ACA,29.0,STAAR - 4th Reading
1398,22,57916144,AUDELIA CREEK E,25.0,STAAR - 4th Reading
1400,22,57916146,THURGOOD MARSHA,40.0,STAAR - 4th Reading
2733,22,108807187,IDEA ACHIEVE AC,61.0,STAAR - 4th Reading
3807,22,220901103,CROW LEADERSHIP,35.0,STAAR - 4th Reading
3820,22,220901125,DUNN EL,51.0,STAAR - 4th Reading
3855,22,220901165,MCNUTT EL,35.0,STAAR - 4th Reading
3886,22,220905105,WEST HANDLEY EL,38.0,STAAR - 4th Reading
3891,22,220905115,GEORGE CLARKE E,47.0,STAAR - 4th Reading
3901,22,220905125,EASTERN HILLS E,25.0,STAAR - 4th Reading
3903,22,220905127,CHRISTENE C MOS,33.0,STAAR - 4th Reading
3904,22,220905129,JOHN T WHITE EL,29.0,STAAR - 4th Reading
3908,22,220905134,GREENBRIAR EL,34.0,STAAR - 4th Reading
3920,22,220905150,OAKHURST EL,46.0,STAAR - 4th Reading
3923,22,220905153,A M PATE EL,34.0,STAAR - 4th Reading
3924,22,220905154,M L PHILLIPS EL,22.0,STAAR - 4th Reading
3946,22,220905187,J T STEVENS EL,34.0,STAAR - 4th Reading
3952,22,220905208,T A SIMS EL,33.0,STAAR - 4th Reading
3957,22,220905222,CLIFFORD DAVIS,14.0,STAAR - 4th Reading
3975,22,220907102,FLORENCE EL,85.0,STAAR - 4th Reading
4026,22,220912103,DEER CREEK EL,53.0,STAAR - 4th Reading
4036,22,220912113,DAVID L WALKER,64.0,STAAR - 4th Reading
4039,22,220914102,JAMES F DELANEY,53.0,STAAR - 4th Reading
4070,22,220918101,L A GILILLAND E,39.0,STAAR - 4th Reading
4087,22,220919101,JACK D JOHNSON,91.0,STAAR - 4th Reading
4221,22,227820301,KIPP DESTINY EL,27.0,STAAR - 4th Reading
4222,22,227820302,KIPP TRUTH EL,29.0,STAAR - 4th Reading
4223,22,227820303,KIPP PLEASANT G,25.0,STAAR - 4th Reading
953,22,57803003,UPLIFT EDUCATIO,32.0,STAAR - 4th Math
954,22,57803008,UPLIFT MIGHTY S,21.0,STAAR - 4th Math
955,22,57803017,UPLIFT ASCEND,17.0,STAAR - 4th Math
956,22,57803018,UPLIFT ELEVATE,5.0,STAAR - 4th Math
958,22,57803102,UPLIFT EDUCATIO,28.0,STAAR - 4th Math
959,22,57803103,UPLIFT GRADUS P,25.0,STAAR - 4th Math
960,22,57803104,UPLIFT HEIGHTS,25.0,STAAR - 4th Math
961,22,57803105,UPLIFT PINNACLE,4.0,STAAR - 4th Math
962,22,57803106,UPLIFT TRIUMPH,32.0,STAAR - 4th Math
963,22,57803107,UPLIFT LUNA PRE,23.0,STAAR - 4th Math
964,22,57803108,UPLIFT MERIDIAN,14.0,STAAR - 4th Math
965,22,57803109,UPLIFT SUMMIT I,38.0,STAAR - 4th Math
966,22,57803110,UPLIFT ATLAS PR,8.0,STAAR - 4th Math
967,22,57803111,UPLIFT HAMPTON,17.0,STAAR - 4th Math
968,22,57803112,UPLIFT WILLIAMS,15.0,STAAR - 4th Math
969,22,57803114,UPLIFT WHITE RO,43.0,STAAR - 4th Math
973,22,57807001,LIFE SCHOOL OAK,14.0,STAAR - 4th Math
977,22,57807105,LIFE SCHOOL MOU,17.0,STAAR - 4th Math
1064,22,57905101,JOHN Q ADAMS EL,33.0,STAAR - 4th Math
1068,22,57905107,JOSE 'JOE' MAY,18.0,STAAR - 4th Math
1069,22,57905108,BAYLES EL,34.0,STAAR - 4th Math
1071,22,57905110,ANNIE WEBB BLAN,65.0,STAAR - 4th Math
1073,22,57905114,JOHN NEELY BRYA,10.0,STAAR - 4th Math
1075,22,57905116,DAVID G BURNET,33.0,STAAR - 4th Math
1082,22,57905125,CASA VIEW EL,44.0,STAAR - 4th Math
1088,22,57905133,BARBARA JORDAN,14.0,STAAR - 4th Math
1090,22,57905135,EVERETTE LEE DE,58.0,STAAR - 4th Math
1094,22,57905141,JILL STONE EL A,18.0,STAAR - 4th Math
1109,22,57905161,SYLVIA MENDEZ C,41.0,STAAR - 4th Math
1110,22,57905162,MOCKINGBIRD EL,63.0,STAAR - 4th Math
1111,22,57905163,CEDAR CREST EL,24.0,STAAR - 4th Math
1114,22,57905167,KLEBERG EL,24.0,STAAR - 4th Math
1115,22,57905168,OBADIAH KNIGHT,46.0,STAAR - 4th Math
1118,22,57905171,LAKEWOOD EL,84.0,STAAR - 4th Math
1120,22,57905173,JESUS MOROLES E,40.0,STAAR - 4th Math
1121,22,57905174,GENEVA HEIGHTS,18.0,STAAR - 4th Math
1127,22,57905181,MAPLE LAWN EL,41.0,STAAR - 4th Math
1128,22,57905182,HERBERT MARCUS,32.0,STAAR - 4th Math
1131,22,57905185,WILLIAM B MILLE,17.0,STAAR - 4th Math
1138,22,57905192,JOHN F PEELER E,33.0,STAAR - 4th Math
1140,22,57905194,K B POLK CENTER,28.0,STAAR - 4th Math
1144,22,57905199,REINHARDT EL,40.0,STAAR - 4th Math
1146,22,57905202,ORAN M ROBERTS,23.0,STAAR - 4th Math
1149,22,57905205,CLINTON P RUSSE,28.0,STAAR - 4th Math
1150,22,57905206,ALEX SANGER PRE,51.0,STAAR - 4th Math
1155,22,57905211,STEVENS PARK EL,33.0,STAAR - 4th Math
1159,22,57905216,EDWARD TITCHE E,44.0,STAAR - 4th Math
1161,22,57905218,GEORGE W TRUETT,30.0,STAAR - 4th Math
1163,22,57905220,MARK TWAIN SCHO,59.0,STAAR - 4th Math
1165,22,57905224,WALNUT HILL EL,51.0,STAAR - 4th Math
1171,22,57905233,NATHAN ADAMS EL,31.0,STAAR - 4th Math
1177,22,57905240,FRANK GUZICK EL,26.0,STAAR - 4th Math
1178,22,57905244,SEAGOVILLE NORT,23.0,STAAR - 4th Math
1187,22,57905271,JULIAN T SALDIV,14.0,STAAR - 4th Math
1194,22,57905278,LEONIDES GONZAL,41.0,STAAR - 4th Math
1195,22,57905279,JERRY R JUNKINS,48.0,STAAR - 4th Math
1203,22,57905301,WILMER-HUTCHINS,29.0,STAAR - 4th Math
1204,22,57905303,THELMA ELIZABET,23.0,STAAR - 4th Math
1207,22,57905306,SOLAR PREPARATO,46.0,STAAR - 4th Math
1214,22,57905386,SOLAR PREP FOR,60.0,STAAR - 4th Math
1224,22,57907106,CLINT Q SMITH E,6.0,STAAR - 4th Math
1242,22,57909119,BRADFIELD EL,36.0,STAAR - 4th Math
1291,22,57910129,THURGOOD MARSHA,47.0,STAAR - 4th Math
1364,22,57916104,GREENWOOD HILLS,40.0,STAAR - 4th Math
1374,22,57916114,STULTS ROAD EL,18.0,STAAR - 4th Math
1383,22,57916124,SPRINGRIDGE EL,36.0,STAAR - 4th Math
1385,22,57916126,SKYVIEW EL,17.0,STAAR - 4th Math
1394,22,57916135,AIKIN EL,14.0,STAAR - 4th Math
1397,22,57916143,FOREST LANE ACA,20.0,STAAR - 4th Math
1398,22,57916144,AUDELIA CREEK E,10.0,STAAR - 4th Math
1400,22,57916146,THURGOOD MARSHA,27.0,STAAR - 4th Math
2733,22,108807187,IDEA ACHIEVE AC,43.0,STAAR - 4th Math
3807,22,220901103,CROW LEADERSHIP,31.0,STAAR - 4th Math
3820,22,220901125,DUNN EL,26.0,STAAR - 4th Math
3855,22,220901165,MCNUTT EL,29.0,STAAR - 4th Math
3886,22,220905105,WEST HANDLEY EL,16.0,STAAR - 4th Math
3891,22,220905115,GEORGE CLARKE E,28.0,STAAR - 4th Math
3901,22,220905125,EASTERN HILLS E,19.0,STAAR - 4th Math
3903,22,220905127,CHRISTENE C MOS,11.0,STAAR - 4th Math
3904,22,220905129,JOHN T WHITE EL,16.0,STAAR - 4th Math
3908,22,220905134,GREENBRIAR EL,22.0,STAAR - 4th Math
3920,22,220905150,OAKHURST EL,61.0,STAAR - 4th Math
3923,22,220905153,A M PATE EL,19.0,STAAR - 4th Math
3924,22,220905154,M L PHILLIPS EL,12.0,STAAR - 4th Math
3946,22,220905187,J T STEVENS EL,10.0,STAAR - 4th Math
3952,22,220905208,T A SIMS EL,16.0,STAAR - 4th Math
3957,22,220905222,CLIFFORD DAVIS,5.0,STAAR - 4th Math
3975,22,220907102,FLORENCE EL,71.0,STAAR - 4th Math
4026,22,220912103,DEER CREEK EL,43.0,STAAR - 4th Math
